"PREÇOS DO FRANGO CONGELADO CEPEA/ESALQ - ESTADO SP","",""
"","",""
"Fonte: Cepea","",""
"Data","À vista R$","À vista US$"
"12/08/2005","2.01","0.85"
"15/08/2005","2.01","0.86"
"16/08/2005","2.01","0.85"
"17/08/2005","2.01","0.85"
"18/08/2005","2.04","0.86"
"19/08/2005","2.05","0.84"
"22/08/2005","2.05","0.86"
"23/08/2005","2.05","0.85"
"24/08/2005","2.05","0.84"
"25/08/2005","2.08","0.87"
"26/08/2005","2.1","0.87"
"29/08/2005","2.11","0.88"
"30/08/2005","2.12","0.89"
"31/08/2005","2.12","0.9"
"01/09/2005","2.13","0.9"
"02/09/2005","2.13","0.91"
"05/09/2005","2.13","0.91"
"06/09/2005","2.15","0.92"
"08/09/2005","2.16","0.93"
"09/09/2005","2.17","0.94"
"12/09/2005","2.2","0.95"
"13/09/2005","2.24","0.96"
"14/09/2005","2.25","0.97"
"15/09/2005","2.26","0.98"
"16/09/2005","2.26","0.98"
"19/09/2005","2.28","0.99"
"20/09/2005","2.3","1"
"21/09/2005","2.29","1.01"
"22/09/2005","2.31","1.01"
"23/09/2005","2.3","1.02"
"26/09/2005","2.3","1.02"
"27/09/2005","2.3","1.02"
"28/09/2005","2.31","1.03"
"29/09/2005","2.31","1.04"
"30/09/2005","2.31","1.04"
"03/10/2005","2.32","1.04"
"04/10/2005","2.31","1.02"
"05/10/2005","2.31","1.02"
"06/10/2005","2.29","1"
"07/10/2005","2.29","1.02"
"10/10/2005","2.29","1.02"
"11/10/2005","2.29","1.03"
"13/10/2005","2.29","1.01"
"14/10/2005","2.28","1.02"
"17/10/2005","2.28","1.02"
"18/10/2005","2.28","1.02"
"19/10/2005","2.28","1.01"
"20/10/2005","2.29","1.02"
"21/10/2005","2.29","1.01"
"24/10/2005","2.29","1.01"
"25/10/2005","2.29","1.01"
"26/10/2005","2.28","1"
"27/10/2005","2.24","0.98"
"28/10/2005","2.24","0.99"
"31/10/2005","2.24","0.99"
"01/11/2005","2.25","1"
"03/11/2005","2.23","1"
"04/11/2005","2.23","1.01"
"07/11/2005","2.23","1.01"
"08/11/2005","2.22","1.01"
"09/11/2005","2.23","1.02"
"10/11/2005","2.23","1.03"
"11/11/2005","2.22","1.03"
"14/11/2005","2.22","1"
"16/11/2005","2.21","1"
"17/11/2005","2.22","1.01"
"18/11/2005","2.22","1"
"21/11/2005","2.21","0.99"
"22/11/2005","2.22","0.99"
